step,epoch,epoch_step,loss,learn_rate
85000,3541,15,0.0369811,1e-05
85500,3562,11,0.0118741,1e-05
86000,3583,7,0.0251274,1e-05
86500,3604,3,0.0093318,1e-05
87000,3624,23,0.0136842,1e-05
87500,3645,19,0.0066457,1e-05
88000,3666,15,0.0082903,1e-05
88500,3687,11,0.0113672,1e-05
89000,3708,7,0.0025607,1e-05
89500,3729,3,0.0380034,1e-05
90000,3749,23,0.0124632,1e-05
90500,3770,19,0.0154298,1e-05
91000,3791,15,0.0067709,1e-05
91500,3812,11,0.0040116,1e-05
92000,3833,7,0.0088092,1e-05
92500,3854,3,0.0227648,1e-05
93000,3874,23,0.0164338,1e-05
93500,3895,19,0.0164800,1e-05
94000,3916,15,0.0129247,1e-05
94500,3937,11,0.0069943,1e-05
95000,3958,7,0.0154250,1e-05
95500,3979,3,0.0024587,1e-05
96000,3999,23,0.0035515,1e-05
96500,4020,19,0.0035808,1e-05
97000,4041,15,0.0034837,1e-05
97500,4062,11,0.0042715,1e-05
98000,4083,7,0.0104376,1e-05
98500,4104,3,0.0057323,1e-05
99000,4124,23,0.0042932,1e-05
99500,4145,19,0.0083359,1e-05
100000,4166,15,0.0336277,1e-05
